name,abbreviation,subject,data_description,procedures,processing,acquisition,instrument,quality_control
Behavior,behavior,1,1,1,0,1,1,0
Behavior videos,behavior-videos,1,1,1,0,1,1,0
Confocal microscopy,confocal,1,1,1,1,1,1,0
Electromyography,EMG,1,1,1,0,1,1,0
Extracellular electrophysiology,ecephys,1,1,1,0,1,1,0
Fiber photometry,fib,1,1,1,0,1,1,0
Fluorescence micro-optical sectioning tomography,fMOST,1,1,1,1,1,1,0
Intracellular electrophysiology,icephys,1,1,1,0,1,1,0
Intrinsic signal imaging,ISI,1,1,1,0,1,1,0
Magnetic resonance imaging,MRI,1,1,1,0,1,1,0
Multiplexed error-robust fluorescence in situ hybridization,merfish,1,1,1,1,1,1,0
Planar optical physiology,pophys,1,1,1,0,1,1,0
Scanned line projection imaging,slap,1,1,1,0,1,1,0
Selective plane illumination microscopy,SPIM,1,1,1,1,1,1,0
